Tag,filename,Month,Level
2,2020,Januar,349.0
3,2020,Januar,314.0
4,2020,Januar,296.0
5,2020,Januar,279.0
6,2020,Januar,269.0
7,2020,Januar,258.0
8,2020,Januar,248.0
9,2020,Januar,241.0
10,2020,Januar,239.0
11,2020,Januar,260.0
12,2020,Januar,281.0
13,2020,Januar,280.0
14,2020,Januar,264.0
15,2020,Januar,246.0
16,2020,Januar,230.0
17,2020,Januar,219.0
18,2020,Januar,207.0
19,2020,Januar,195.0
20,2020,Januar,191.0
21,2020,Januar,179.0
22,2020,Januar,172.0
23,2020,Januar,165.0
24,2020,Januar,162.0
25,2020,Januar,155.0
26,2020,Januar,154.0
27,2020,Januar,153.0
28,2020,Januar,152.0
29,2020,Januar,167.0
30,2020,Januar,240.0
31,2020,Januar,274.0
1,2021,Januar,334.0
2,2021,Januar,315.0
3,2021,Januar,294.0
4,2021,Januar,269.0
5,2021,Januar,240.0
6,2021,Januar,223.0
7,2021,Januar,210.0
8,2021,Januar,202.0
9,2021,Januar,195.0
10,2021,Januar,186.0
11,2021,Januar,180.0
12,2021,Januar,171.0
13,2021,Januar,176.0
14,2021,Januar,184.0
15,2021,Januar,188.0
16,2021,Januar,199.0
17,2021,Januar,254.0
18,2021,Januar,338.0
19,2021,Januar,323.0
20,2021,Januar,295.0
21,2021,Januar,291.0
22,2021,Januar,301.0
23,2021,Januar,326.0
24,2021,Januar,412.0
25,2021,Januar,446.0
26,2021,Januar,462.0
27,2021,Januar,441.0
28,2021,Januar,406.0
29,2021,Januar,397.0
30,2021,Januar,489.0
31,2021,Januar,630.0
1,2018,Januar,426.0
2,2018,Januar,519.0
3,2018,Januar,588.0
4,2018,Januar,630.0
5,2018,Januar,692.0
6,2018,Januar,725.0
7,2018,Januar,779.0
8,2018,Januar,818.0
9,2018,Januar,837.0
10,2018,Januar,806.0
11,2018,Januar,720.0
12,2018,Januar,643.0
13,2018,Januar,579.0
14,2018,Januar,529.0
15,2018,Januar,487.0
16,2018,Januar,456.0
17,2018,Januar,438.0
18,2018,Januar,466.0
19,2018,Januar,526.0
20,2018,Januar,588.0
21,2018,Januar,629.0
22,2018,Januar,670.0
23,2018,Januar,690.0
24,2018,Januar,688.0
25,2018,Januar,712.0
26,2018,Januar,753.0
27,2018,Januar,778.0
28,2018,Januar,777.0
29,2018,Januar,724.0
30,2018,Januar,665.0
31,2018,Januar,612.0
1,2022,Januar,459.0
2,2022,Januar,482.0
3,2022,Januar,478.0
4,2022,Januar,446.0
5,2022,Januar,460.0
6,2022,Januar,605.0
7,2022,Januar,643.0
8,2022,Januar,609.0
9,2022,Januar,557.0
10,2022,Januar,539.0
11,2022,Januar,562.0
12,2022,Januar,534.0
13,2022,Januar,485.0
14,2022,Januar,436.0
15,2022,Januar,394.0
16,2022,Januar,359.0
17,2022,Januar,331.0
18,2022,Januar,311.0
19,2022,Januar,294.0
20,2022,Januar,276.0
21,2022,Januar,269.0
22,2022,Januar,263.0
23,2022,Januar,253.0
24,2022,Januar,244.0
25,2022,Januar,233.0
26,2022,Januar,225.0
27,2022,Januar,222.0
28,2022,Januar,221.0
29,2022,Januar,215.0
30,2022,Januar,210.0
31,2022,Januar,208.0
1,1996,Februar,148.0
2,1996,Februar,141.0
3,1996,Februar,137.0
4,1996,Februar,140.0
5,1996,Februar,140.0
6,1996,Februar,139.0
7,1996,Februar,135.0
8,1996,Februar,132.0
9,1996,Februar,129.0
10,1996,Februar,126.0
11,1996,Februar,127.0
12,1996,Februar,130.0
13,1996,Februar,134.0
14,1996,Februar,150.0
15,1996,Februar,210.0
16,1996,Februar,244.0
17,1996,Februar,219.0
18,1996,Februar,209.0
19,1996,Februar,247.0
20,1996,Februar,354.0
21,1996,Februar,422.0
22,1996,Februar,400.0
23,1996,Februar,345.0
24,1996,Februar,294.0
25,1996,Februar,248.0
26,1996,Februar,226.0
27,1996,Februar,213.0
28,1996,Februar,220.0
29,1996,Februar,236.0
30,1996,Februar,
31,1996,Februar,
1,1997,Februar,232.0
2,1997,Februar,220.0
3,1997,Februar,208.0
4,1997,Februar,202.0
5,1997,Februar,196.0
6,1997,Februar,202.0
7,1997,Februar,220.0
8,1997,Februar,241.0
9,1997,Februar,229.0
10,1997,Februar,213.0
11,1997,Februar,204.0
12,1997,Februar,207.0
13,1997,Februar,220.0
14,1997,Februar,296.0
15,1997,Februar,457.0
16,1997,Februar,487.0
17,1997,Februar,494.0
18,1997,Februar,514.0
19,1997,Februar,484.0
20,1997,Februar,464.0
21,1997,Februar,468.0
22,1997,Februar,462.0
23,1997,Februar,433.0
24,1997,Februar,405.0
25,1997,Februar,378.0
26,1997,Februar,384.0
27,1997,Februar,535.0
28,1997,Februar,693.0
29,1997,Februar,
30,1997,Februar,
31,1997,Februar,
1,1998,Februar,237.0
2,1998,Februar,222.0
3,1998,Februar,212.0
4,1998,Februar,203.0
5,1998,Februar,194.0
6,1998,Februar,187.0
7,1998,Februar,184.0
8,1998,Februar,176.0
9,1998,Februar,171.0
10,1998,Februar,167.0
11,1998,Februar,159.0
12,1998,Februar,160.0
13,1998,Februar,155.0
14,1998,Februar,153.0
15,1998,Februar,152.0
16,1998,Februar,152.0
17,1998,Februar,159.0
18,1998,Februar,158.0
19,1998,Februar,160.0
20,1998,Februar,160.0
21,1998,Februar,161.0
22,1998,Februar,163.0
23,1998,Februar,156.0
24,1998,Februar,155.0
25,1998,Februar,166.0
26,1998,Februar,189.0
27,1998,Februar,200.0
28,1998,Februar,199.0
29,1998,Februar,
30,1998,Februar,
31,1998,Februar,
1,1999,Februar,475.0
2,1999,Februar,424.0
3,1999,Februar,385.0
4,1999,Februar,354.0
5,1999,Februar,339.0
6,1999,Februar,333.0
7,1999,Februar,357.0
8,1999,Februar,412.0
9,1999,Februar,454.0
10,1999,Februar,461.0
11,1999,Februar,435.0
12,1999,Februar,401.0
13,1999,Februar,375.0
14,1999,Februar,352.0
15,1999,Februar,320.0
16,1999,Februar,311.0
17,1999,Februar,301.0
18,1999,Februar,296.0
19,1999,Februar,298.0
20,1999,Februar,315.0
21,1999,Februar,400.0
22,1999,Februar,596.0
23,1999,Februar,737.0
24,1999,Februar,822.0
25,1999,Februar,854.0
26,1999,Februar,834.0
27,1999,Februar,770.0
28,1999,Februar,715.0
29,1999,Februar,
30,1999,Februar,
31,1999,Februar,
1,2000,Februar,381.0
2,2000,Februar,499.0
3,2000,Februar,532.0
4,2000,Februar,492.0
5,2000,Februar,455.0
6,2000,Februar,432.0
7,2000,Februar,406.0
8,2000,Februar,384.0
9,2000,Februar,367.0
10,2000,Februar,384.0
11,2000,Februar,445.0
12,2000,Februar,506.0
13,2000,Februar,519.0
14,2000,Februar,509.0
15,2000,Februar,501.0
16,2000,Februar,494.0
17,2000,Februar,506.0
18,2000,Februar,549.0
19,2000,Februar,586.0
20,2000,Februar,603.0
21,2000,Februar,627.0
22,2000,Februar,636.0
23,2000,Februar,612.0
24,2000,Februar,566.0
25,2000,Februar,525.0
26,2000,Februar,506.0
27,2000,Februar,499.0
28,2000,Februar,485.0
29,2000,Februar,476.0
30,2000,Februar,
31,2000,Februar,
1,2001,Februar,408.0
2,2001,Februar,374.0
3,2001,Februar,351.0
4,2001,Februar,341.0
5,2001,Februar,361.0
6,2001,Februar,481.0
7,2001,Februar,634.0
8,2001,Februar,670.0
9,2001,Februar,647.0
10,2001,Februar,584.0
11,2001,Februar,525.0
12,2001,Februar,471.0
13,2001,Februar,427.0
14,2001,Februar,395.0
15,2001,Februar,385.0
16,2001,Februar,366.0
17,2001,Februar,341.0
18,2001,Februar,334.0
19,2001,Februar,328.0
20,2001,Februar,315.0
21,2001,Februar,299.0
22,2001,Februar,290.0
23,2001,Februar,282.0
24,2001,Februar,286.0
25,2001,Februar,289.0
26,2001,Februar,300.0
27,2001,Februar,315.0
28,2001,Februar,302.0
29,2001,Februar,
30,2001,Februar,
31,2001,Februar,
1,2002,Februar,604.0
2,2002,Februar,549.0
3,2002,Februar,505.0
4,2002,Februar,446.0
5,2002,Februar,397.0
6,2002,Februar,363.0
7,2002,Februar,342.0
8,2002,Februar,333.0
9,2002,Februar,327.0
10,2002,Februar,329.0
11,2002,Februar,395.0
12,2002,Februar,495.0
13,2002,Februar,529.0
14,2002,Februar,595.0
15,2002,Februar,685.0
16,2002,Februar,701.0
17,2002,Februar,663.0
18,2002,Februar,575.0
19,2002,Februar,520.0
20,2002,Februar,467.0
21,2002,Februar,467.0
22,2002,Februar,619.0
23,2002,Februar,693.0
24,2002,Februar,711.0
25,2002,Februar,668.0
26,2002,Februar,675.0
27,2002,Februar,731.0
28,2002,Februar,795.0
29,2002,Februar,
30,2002,Februar,
31,2002,Februar,
1,2003,Februar,503.0
2,2003,Februar,481.0
3,2003,Februar,446.0
4,2003,Februar,427.0
5,2003,Februar,461.0
6,2003,Februar,518.0
7,2003,Februar,531.0
8,2003,Februar,495.0
9,2003,Februar,453.0
10,2003,Februar,428.0
11,2003,Februar,412.0
12,2003,Februar,395.0
13,2003,Februar,373.0
14,2003,Februar,354.0
15,2003,Februar,340.0
16,2003,Februar,325.0
17,2003,Februar,306.0
18,2003,Februar,296.0
19,2003,Februar,282.0
20,2003,Februar,276.0
21,2003,Februar,269.0
22,2003,Februar,263.0
